231st St,Dyckman St (1)
Dyckman St (1),96th St (1)
96th St (1),72nd St (1)
72nd St (1),66th St - Lincoln Ctr
66th St - Lincoln Ctr,59th St - Columbus Circle
59th St - Columbus Circle,Times Sq - 42nd St
Times Sq - 42nd St,34th St - Penn Station (1)
34th St - Penn Station (1),14th St (1)
14th St (1),Chambers St (1)
Chambers St (1),WTC Cortlandt
WTC Cortlandt,South Ferry
233rd St,Gun Hill Rd (2)
Gun Hill Rd (2),Pelham Pkwy (2)
Pelham Pkwy (2),E 180th St
E 180th St,Simpson St
Simpson St,3rd Ave - 149th St
3rd Ave - 149th St,135th St (2)
135th St (2),96th St (1)
72nd St (1),Times Sq - 42nd St
Times Sq - 42nd St,34th St - Penn Station (1)
34th St - Penn Station (1),14th St (1)
14th St (1),Chambers St (1)
Chambers St (1),Fulton St
Fulton St,Borough Hall
Borough Hall,Atlantic Av - Barclay's Center
Atlantic Av - Barclay's Center,Eastern Pkwy - Bklyn Museum
Eastern Pkwy - Bklyn Museum,Church Ave (2)
Church Ave (2),Brooklyn College - Flatbush Ave
Eastern Pkwy - Bklyn Museum,Crown Hts - Utica Ave
Fordham Rd,170th St (4)
170th St (4),161st St - Yankee Stadium
161st St - Yankee Stadium,125th St (4)
125th St (4),Grand Central - 42nd St
Grand Central - 42nd St,Brooklyn Bridge - City Hall
Brooklyn Bridge - City Hall,Fulton St
Fulton St,Bowling Green
Bowling Green,Atlantic Av - Barclay's Center
Atlantic Av - Barclay's Center,Crown Hts - Utica Ave
Gun Hill Rd (5),E 180th St
E 180th St,Simpson St
Simpson St,3rd Ave - 149th St
3rd Ave - 149th St,125th St (4)
125th St (4),Grand Central - 42nd St
Grand Central - 42nd St,Brooklyn Bridge - City Hall
Brooklyn Bridge - City Hall,Fulton St
Fulton St,Bowling Green
Bowling Green,Atlantic Av - Barclay's Center
Atlantic Av - Barclay's Center,Church Ave (2)
Church Ave (2),Brooklyn College - Flatbush Ave
Pelham Bay Park,Westchester Sq
Westchester Sq,Hunts Point Ave
Hunts Point Ave,E 149th St
E 149th St,125th St (4)
125th St (4),68 St-Hunter College
