Van Cortlandt Park - 242th St,238th St
238th St,231st St
231st St,Marble Hill - 225th St
Marble Hill - 225th St,215th St
215th St,207th St
207th St,Dyckman St (1)
Dyckman St (1),191st St
191st St,181st St (1)
181st St (1),168th St (A)
168th St (A),157th St
157th St,145th St (1)
145th St (1),137th St - City College
137th St - City College,125th St (1)
125th St (1),116th St - Columbia University
116th St - Columbia University,Cathedral Pkwy (110th St) (1)
Cathedral Pkwy (110th St) (1),103rd St (1)
103rd St (1),96th St (1)
96th St (1),86th St (1)
86th St (1),79th St
79th St,72nd St (1)
72nd St (1),66th St - Lincoln Ctr
66th St - Lincoln Ctr,59th St - Columbus Circle
59th St - Columbus Circle,50th St (1)
50th St (1),Times Sq - 42nd St
Times Sq - 42nd St,34th St - Penn Station (1)
34th St - Penn Station (1),28th St (1)
28th St (1),23rd St (1)
23rd St (1),18th St
18th St,14th St (1)
14th St (1),Christopher St
Christopher St,Houston St
Houston St,Canal St (1)
Canal St (1),Franklin St
Franklin St,Chambers St (1)
Chambers St (1),WTC Cortlandt
WTC Cortlandt,Rector St
Rector St,South Ferry
Wakefield - 241st St,Neried Ave
Neried Ave,233rd St
233rd St,225th St
225th St,219th St
219th St,Gun Hill Rd (2)
Gun Hill Rd (2),Burke Ave
Burke Ave,Allerton Ave
Allerton Ave,Pelham Pkwy (2)
Pelham Pkwy (2),Bronx Park E
Bronx Park E,E 180th St
E 180th St,West Farms Sq
West Farms Sq,174th St
174th St,Freeman St
Freeman St,Simpson St
Simpson St,Intervale Ave
Intervale Ave,Prospect Ave
Prospect Ave,Jackson Ave
Jackson Ave,3rd Ave - 149th St
3rd Ave - 149th St,149th St - Grand Concourse
149th St - Grand Concourse,135th St (2)
135th St (2),125th St (2)
125th St (2),116th St (2)
116th St (2),Central Park North
Central Park North,96th St (1)
96th St (1),72nd St (1)
72nd St (1),Times Sq - 42nd St
Times Sq - 42nd St,34th St - Penn Station (1)
34th St - Penn Station (1),14th St (1)
14th St (1),Chambers St (1)
Chambers St (1),Park Place (2)
Park Place (2),Fulton St
Fulton St,Wall St (2)
Wall St (2),Clark St
Clark St,Borough Hall
Borough Hall,Hoyt St
Hoyt St,Nevins St
Nevins St,Atlantic Av - Barclay's Center
Atlantic Av - Barclay's Center,Bergen St
Bergen St,Grand Army Plaza
Grand Army Plaza,Eastern Pkwy - Bklyn Museum
Eastern Pkwy - Bklyn Museum,Franklin Ave Medgars Evers College
Franklin Ave Medgars Evers College,President St - Medgar Evers College
President St - Medgar Evers College,Sterling St
Sterling St,Withrop St
Withrop St,Church Ave (2)
Church Ave (2),Beverly Rd
Beverly Rd,Newkirk Ave - Little Haiti
Newkirk Ave - Little Haiti,Brooklyn College - Flatbush Ave
Harlem 148th St,145th St (3)
145th St (3),135th St (2)
135th St (2),125th St (2)
125th St (2),116th St (2)
116th St (2),Central Park North
Central Park North,96th St (1)
96th St (1),72nd St (1)
72nd St (1),59th St - Columbus Circle
59th St - Columbus Circle,Times Sq - 42nd St
Times Sq - 42nd St,34th St - Penn Station (1)
34th St - Penn Station (1),14th St (1)
14th St (1),Chambers St (1)
Chambers St (1),Park Place (2)
Park Place (2),Fulton St
Fulton St,Wall St (2)
Wall St (2),Clark St
Clark St,Borough Hall
Borough Hall,Hoyt St
Hoyt St,Nevins St
Nevins St,Atlantic Av - Barclay's Center
Atlantic Av - Barclay's Center,Bergen St
Bergen St,Grand Army Plaza
Grand Army Plaza,Eastern Pkwy - Bklyn Museum
Eastern Pkwy - Bklyn Museum,Franklin Ave Medgars Evers College
Franklin Ave Medgars Evers College,Nostrand Ave (3)
Nostrand Ave (3),Kingston Ave
Kingston Ave,Crown Hts - Utica Ave
Crown Hts - Utica Ave,Siutter Ave - Rutland Rd
Siutter Ave - Rutland Rd,Saratoga Ave
Saratoga Ave,Rockaway Ave (3)
Rockaway Ave (3),Junius St
Junius St,Pennsylvania Ave
Pennsylvania Ave,Van Siclen Ave
Van Siclen Ave,New Lots Ave
Woodlawn,Mosholu Pkwy
Mosholu Pkwy,Bedford Pk Blvd Lehman College
Bedford Pk Blvd Lehman College,Kingsbridge Rd (4)
Kingsbridge Rd (4),Fordham Rd (4)
Fordham Rd (4),183rd St
183rd St,Burnside Ave
Burnside Ave,176th St
176th St,Mt Eden Ave
Mt Eden Ave,170th St (4)
170th St (4),167th St (4)
167th St (4),161st St - Yankee Stadium
161st St - Yankee Stadium,149th St - Grand Concourse
149th St - Grand Concourse,138th St - Grand Concourse
138th St - Grand Concourse,125th St (4)
125th St (4),86th St (4)
86th St (4),59th St
59th St,Grand Central - 42nd St
Grand Central - 42nd St,14th St - Union Sq
14th St - Union Sq,Brooklyn Bridge - City Hall
Brooklyn Bridge - City Hall,Fulton St
Fulton St,Wall St (4)
Wall St (4),Bowling Green
Bowling Green,Borough Hall
Borough Hall,Nevins St
Nevins St,Atlantic Av - Barclay's Center
Atlantic Av - Barclay's Center,Franklin Ave Medgars Evers College
Franklin Ave Medgars Evers College,Crown Hts - Utica Ave
Eastchester - Dyre Ave,Baychester Ave
Baychester Ave,Gun Hill Rd (5)
Gun Hill Rd (5),Pelham Pkwy (5)
Pelham Pkwy (5),Morris Park
Morris Park,E 180th St
E 180th St,West Farms Sq
West Farms Sq,174th St
174th St,Freeman St
Freeman St,Simpson St
Simpson St,Intervale Ave
Intervale Ave,Prospect Ave
Prospect Ave,Jackson Ave
Jackson Ave,3rd Ave - 149th St
3rd Ave - 149th St,149th St - Grand Concourse
149th St - Grand Concourse,138th St - Grand Concourse
138th St - Grand Concourse,125th St (4)
125th St (4),86th St (4)
86th St (4),59th St
59th St,Grand Central - 42nd St
Grand Central - 42nd St,14th St - Union Sq
14th St - Union Sq,Brooklyn Bridge - City Hall
Brooklyn Bridge - City Hall,Fulton St
Fulton St,Wall St (4)
Wall St (4),Bowling Green
Bowling Green,Borough Hall
Borough Hall,Nevins St
Nevins St,Atlantic Av - Barclay's Center
Atlantic Av - Barclay's Center,Franklin Ave Medgars Evers College
Franklin Ave Medgars Evers College,President St - Medgar Evers College
President St - Medgar Evers College,Sterling St
Sterling St,Withrop St
Withrop St,Church Ave (2)
Church Ave (2),Beverly Rd
Beverly Rd,Newkirk Ave - Little Haiti
Newkirk Ave - Little Haiti,Brooklyn College - Flatbush Ave
Pelham Bay Park,Buhre Ave
Buhre Ave,Middletown Rd
Middletown Rd,Westchester Sq - East Tremont Ave
Westchester Sq - East Tremont Ave,Zerega Ave
Zerega Ave,Castle Hill Ave
Castle Hill Ave,Parkchester
Parkchester,St Lawrence Ave
St Lawrence Ave,Morrison Ave - Soundview
Morrison Ave - Soundview,Elder Ave
Elder Ave,Whitlock Ave
Whitlock Ave,Hunts Point Ave
Hunts Point Ave,Longwood Ave
Longwood Ave,E 149th St
E 149th St,E 143rd St - St Mary's St
E 143rd St - St Mary's St,Cypress Ave
Cypress Ave,Brook Ave
Brook Ave,3rd Ave - 138th St
3rd Ave - 138th St,125th St (4)
125th St (4),116th St (4)
116th St (4),110th St
110th St,103rd St (4)
103rd St (4),96th St (4)
96th St (4),86th St (4)
86th St (4),77th St
77th St,68th St Hunter College
68th St Hunter College,59th St
59th St,51st St
51st St,Grand Central - 42nd St
Grand Central - 42nd St,33rd St
33rd St,28th St
28th St,23rd St
23rd St,14th St - Union Sq
14th St - Union Sq,Astor Pl
Astor Pl,Bleecker St
Bleecker St,Spring St (6)
Spring St (6),Canal St (6)
Canal St (6),Brooklyn Bridge - City Hall
34th St - Hudson Yards,Times Sq - 42nd St
Times Sq - 42nd St,5th Ave
5th Ave,Grand Central - 42nd St
Grand Central - 42nd St,Vernon Blvd Jackson Ave
Vernon Blvd Jackson Ave,Hunters Point Ave
Hunters Point Ave,Court Sq (7)
Court Sq (7),Queensboro Plaza
Queensboro Plaza,33rd St - Rawson St
33rd St - Rawson St,40th St - Lowrey St
40th St - Lowrey St,46th St - Bliss St
46th St - Bliss St,52nd St
52nd St,Woodside - 61st St
Woodside - 61st St,69th St
69th St,74th St - Broadway
74th St - Broadway,82nd St - Jackson Hts
82nd St - Jackson Hts,90th St - Elmhurst Ave
